location,created_at,screen_name,description,user_id,tweets_per_user,sarcasm,disease,timezone,text,posted_by,query,coordinate,tweet_id,talk_about
DMV,21/04/2016 21:24,MrPryority,I march to the beat of my own drum.  #BlackLivesMatter,30589197.0,5.0,,HIV,Eastern Time (US & Canada),Yo Prince was a wild dude back in the 80s when everyone was getting AIDs...he may have just kept it quiet like how Charlie Sheen did.,Individual,AIDS,None,7.23261e+17,celeb
"Atlanta, GA",07/04/2016 22:15,PXLPXLmusic,I mean pretty much,3305229333.0,1.0,,HIV,Pacific Time (US & Canada),little known fact about young guns charlie sheens 6 guns shoots aids,Individual,AIDS,None,7.18201e+17,celeb
"Dubai, UAE",08/04/2016 04:59,damygeebo,I tweet News of The Weird and funny vids of The Amazing Raccoon Willie!!!  #Mapache,19037300.0,1.0,,HIV,Cairo,#BroadwayACeleb Cat On A Hot Tin... Charlie Sheen Has Aids. #lol,Individual,AIDS,None,7.18302e+17,celeb
New    york     city,20/04/2016 04:10,ATtheveryend,"Im   Great     and    have   a    Great    T.V.  Show    The   Unreal    Variety    Show   ,  and    Im   Great",97798684.0,4.0,,HIV,Atlantic Time (Canada),Charlie Sheen's Ex Brooke Mueller -- He's Cutting Off His Rich Nose to Spite His Kids' Faces https://t.co/gD8G3HeFtS via @TMZ AIDS ! MONEY,Individual,AIDS,None,7.22638e+17,celeb
out of this world,16/04/2016 13:27,thatsmecjones,I'm from the Nile Valley and I'm a comedian/Actor/Writer/ #grouponstripper #blaqgold #Melanin #settitoff,3505752442.0,1.0,,HIV,None,So charlie Sheen still out here giving hoes Aids &amp; hasn't been charged but yall wanna put my cousin in jail for giving condoms to the church,Individual,AIDS,None,7.21329e+17,celeb
tigrotta mia,09/04/2016 14:52,moanIikejelena,I'm the sweetest bitch you'll ever meet,322604064.0,1.0,,HIV,Quito,Charlie Sheen admitted to having AIDS (im late I know) wow,Individual,AIDS,None,7.18814e+17,celeb
United States,22/04/2016 04:51,HipHipster4,Independent,4330381966.0,1.0,,HIV,None,Wow prince had AIDS PLUS Charlie Sheen dang glad I don't sleep around nor do I use drugs https://t.co/PusTCrtSnT,Individual,AIDS,None,7.23374e+17,celeb
,08/04/2016 17:49,UncleFilll,"Introvert https://t.co/rgpKPZtkuV https://t.co/f8pFYtW4RV @Kush__Records NYC, USA/ Worldwide",797458500.0,1.0,,HIV,Atlantic Time (Canada),@DirtbagDaniel_ dis how Charlie Sheen got aids doe,Individual,AIDS,None,7.18496e+17,celeb
New York City,07/04/2016 02:57,markbspiegel,"Investor, Managing Member of Stanphyl Capital, wiseguy. I buy deep value and short bubbles, and I don't do it quietly.",258612274.0,1.0,,HIV,Eastern Time (US & Canada),"Charlie Sheen investigated by LAPD https://t.co/Ky0jiKPrgP FIRED,AIDS,&amp; THIS. GORDON GEKKO MUST BE REALLY HAPPY RE WHAT HAPPENED TO THIS GUY",Individual,AIDS,None,7.17909e+17,celeb
"Los Angeles, CA",18/04/2016 11:42,RebelPinboard,Join The Rebel #Pinboard and share your images!,,1.0,,HIV,Pacific Time (US & Canada),Jason Quinlan - Charlie Sheen And His HIV - Don't Tell Me How To Ruin M https://t.co/TRleuh8gvZ #charliesheen #hiv #jasonquinlan #showbizz,Individual,#HIV,None,7.22028e+17,celeb
Silent Hill,21/04/2016 22:27,DippnDots15,"Judylwb Idoov, Vlpsvrqv, dqg Vrxwk Sdun pdun. Dovr olnhv dqlph, ylghr jdphv, dqg zuhvwolqj. Ohdvw L nqrz zkhuhyhu L jr L jrw wkh Ghylo ehqhdwk pb ihhw.",2564535979.0,1.0,,HIV,Central Time (US & Canada),@PrisonPlanet When hasn't Charlie Sheen been an AIDS infected monster?,Individual,AIDS,None,7.23277e+17,celeb
Australia,07/04/2016 23:18,WrightyJason,"Just like a spider, I crawl the web. This is the world according to Wrighty. I don't think like you but I do think. Peace",2164428259.0,2.0,,HIV,None,"Charlie Sheen spoke out against the establishment and  BOOM! AIDS, sex scandals. He's been crucified.",Individual,AIDS,None,7.18216e+17,celeb
"Irving, TX",13/04/2016 01:16,OfficialMCGusto,Let me save you boo..,164964300.0,1.0,,HIV,Eastern Time (US & Canada),The lack of media outrage over Charlie Sheen exposing multiple women to hiv/aids. https://t.co/vAkLEtiFBI,Individual,AIDS,None,7.20058e+17,celeb
Barbados,13/04/2016 00:16,InTheAfterLife,Life is always good over here.  IG: @plutonian_goddess FB: Maia Taylor https://t.co/4a8zFolmTH,275606940.0,1.0,,HIV,Santiago,"J: Charlie Sheen get expensive  treatment, so now de AIDS is so little that if he get a blood test it might not show up. Daz how good de tr...",Individual,AIDS,None,7.20043e+17,celeb
Buffalo NY,21/04/2016 00:02,NovoselicSucks,Master of karate and friendship for everyone.,523737395.0,1.0,,HIV,Atlantic Time (Canada),@cbanks420lol @OpieRadio @EstherKuKu id let charlie sheen give me aids so i can jizz in her eye and infect her. #takingonefortheteam,Individual,AIDS,None,7.22938e+17,celeb
"Somewhere Chilling, NCAT, NC",10/04/2016 19:11,Aggies_Very_Own,My face is a chair for women with Afros/Curly hair. Please have a seat. #IgnantTribe #JuggHive SC:AggiePride23 #9Dime @plantmami my header,164010309.0,1.0,,HIV,Central Time (US & Canada),@xaviercxbb @tracphoneshawty I'm fucking dying said Charlie Sheen when he found out he had AIDS,Individual,AIDS,None,7.19241e+17,celeb
,08/04/2016 10:53,StaceyBridges18,My fiance died in 30 days after his Doctor gave him a FREE 30 day sample of ABILIFY for STRESS. These drugs on TV kill fast and I'm here to warn the people.,4815348508.0,1.0,,HIV,None,WHY isn't Charlie Sheen facing MURDER CHARGES for exposing INNOCENT WOMEN to HIV&amp;AIDS since 2004! Charlies a MONSTER https://t.co/iDI4Esevqf,Individual,AIDS,None,7.18391e+17,celeb
Wherever there's cocktails,12/04/2016 18:48,princess_caz82,"My tweets are the opinions of the many voices in my head. If you don't like it, don't follow me or comment. I will sexually harass you. No DMs",194503354.0,5.0,,HIV,None,@mightybinwah @niteyeti @Dickie_Shoulder Good AIDS is when it's contained. Bad is when it's spread. Bit like what Charlie Sheen did,Individual,AIDS,None,7.1996e+17,celeb
,16/04/2016 02:08,caralee557,Now stay with me cause I'm quite quick,550104397.0,1.0,,HIV,None,Didn't Charlie Sheen die of AIDS-@CatLadyHasNoCat No that was Robin Williams -Alex,Individual,AIDS,None,7.21158e+17,celeb
"Cypress Park, Los Angeles",11/04/2016 01:52,BillyWayneDavis,Pilot Fighter,104071616.0,1.0,,HIV,Pacific Time (US & Canada),Weird. Charlie Sheen admits he has AIDS and the tiger population goes back up.  https://t.co/sgkq2Lw2XH,Individual,AIDS,None,7.19342e+17,celeb
,19/04/2016 18:45,filipebertoglio,"queijo cheddar, prato ou suico?",2707932432.0,1.0,,HIV,None,charlie sheen com aids me lembra scar tissue,Individual,AIDS,None,7.22496e+17,celeb
"South Jerz, USA",20/04/2016 11:51,B_TheRealest,Regular nigga. Fake sports Guru. Gym rat.  Eagles Nation. Thunder Up.,168890981.0,3.0,,HIV,None,@Des4gr8ness fuck Charlie Sheen. Nigga just out here trying to pass around AIDS and not take care of his kids. He can eat a dick,Individual,AIDS,None,7.22755e+17,celeb
"New York, USA",13/04/2016 02:59,Drumpf_Verdict,Reviewer/Genius/Fantastic Hair/Has all the best words,,1.0,,HIV,None,Where do you think Charlie Sheen got that catchphrase from? and his AIDS,Individual,AIDS,None,7.20084e+17,celeb
Braunschweig / Germany,10/04/2016 18:20,DoktorUndNutten,Sass & Sorcery!,17317004.0,1.0,,HIV,Bern,"Scary Movie 3. Oh, Charlie Sheen bevor er AIDS hatte.",Individual,AIDS,None,7.19228e+17,celeb
"San Francisco, CA",21/04/2016 22:06,djfogigz,sicker than ya' average... empowering people and helping them find their life purpose #numerology #astrology,50001227.0,1.0,,HIV,Pacific Time (US & Canada),charlie sheen got aids and prince dies from a so called flu... ehh. sounding a little sketch. rip to prince though.,Individual,AIDS,None,7.23272e+17,celeb
Chicago,07/04/2016 21:05,_iPrince,Snapchat: i.prince // Husband. Dad. Christian. Est. 1984. Uncompromised. #Team #TeamBRINGIT #Yeshua,64573701.0,1.0,,HIV,Central Time (US & Canada),...Charlie Sheen for giving women aids and Oj for murdering his wife (b/c we all know he did it)...,Individual,AIDS,None,7.18183e+17,celeb
"Los Angeles, CA",07/04/2016 21:56,jenniegrimes,stage iv cancer advocate. inspired by goodness. ice cream addict. perpetually curious. tabasco lover. seeker of hope.,149956682.0,5.0,,HIV,None,"Charlie Sheen's sordid legal war over #HIV, alleged threats and violence - Los Angeles Times https://t.co/hCQKBULpjN",Individual,#HIV,None,7.18196e+17,celeb
,21/04/2016 19:46,StephenKComedy,"Stephen Kyle is a comedian born and raised in CT. His comedic topics generally include, children, family life, relationships/marriage, and race relations.",1308971256.0,1.0,,HIV,None,"Charlie Sheen has AIDS, and HE'S fine! But Prince dies of PNEUMONIA?! SMH . . Well tonight I'm gonna party like it's 1999!",Individual,AIDS,None,7.23237e+17,celeb
5.bro,21/04/2016 15:48,AaronGetsYoked,"Street Cred Level Over: 9,000 #OilFieldUniversity #AC #DirtySouthPerformance",522773319.0,1.0,,HIV,Hawaii,@ShayStillCookin I've built up an immunity to it like Charlie sheen did with AIDS,Individual,AIDS,None,7.23177e+17,celeb
"Atlanta, Georgia",21/04/2016 18:05,Casi_not_Cassie,Tad bit sicker than the rest of the clinic,44188419.0,1.0,,HIV,Quito,@ANYnotNEY @implicitREBEL @_ElleEyeEnAye ok but Charlie Sheen has HIV and HID IT for years. He don't even have AIDS yet,Individual,AIDS,None,7.23211e+17,celeb
Highland,10/04/2016 07:20,SeanVnthony,The Contradictory Mind of Sean Anthony. FishShop Twitter Buddhist #HXLY,1489811048.0,1.0,,HIV,Pacific Time (US & Canada),@torrespablo101 my name ain't Charlie Sheen so I won't give you AIDs,Individual,AIDS,None,7.19062e+17,celeb
QUEENS NY,07/04/2016 20:11,im2sxe4,There's about 7 billion people on earth. I'm one. Just slightly different.  #queens #NYC #nightlife #zyzz #keepmirin #berniebro alcohol kills dont  follow,2546064161.0,1.0,,HIV,None,Charlie sheen got aids because he was having sex with men. Article is clear as day on #AOL check it out before they pull it,Individual,AIDS,None,7.18169e+17,celeb
"Hesperia, CA",11/04/2016 08:06,RICHINDU,trucker,,1.0,,HIV,None,@bellathorne4u I wonder if they would like charlie sheen now since hes workin on a aids epidemic senario i think 18 year olds would jump on,Individual,AIDS,None,7.19436e+17,celeb
"Lost Angels, CA",21/04/2016 17:37,CrashHellton,"Trying to navigate delicately through life, but falling and crashing every step of the way...",108782204.0,1.0,,HIV,Pacific Time (US & Canada),And the worst part of all this shit?!  CHARLIE SHEEN STILL HAD AIDS!,Individual,AIDS,None,7.23204e+17,celeb
,16/04/2016 02:49,jk_maddox,when life gives you lemons .. don't make lemonade.. make Lemon pie,4911031632.0,1.0,,HIV,None,Charlie sheen fucking bitches &amp; he giving them AIDS facts,Individual,AIDS,None,7.21169e+17,celeb
,16/04/2016 09:08,RodreeSZN,Y | US MARINE | Views | SZN |EIRE,160805443.0,2.0,,HIV,Pacific Time (US & Canada),@lorena_bencomo you got AIDS.. Stay away from everybody Charlie sheen https://t.co/rCknRbLFL3,Individual,AIDS,None,7.21264e+17,celeb
,10/04/2016 04:08,Strobelicous,Yale '19,795274566.0,1.0,,HIV,None,@ogmakey @AbrilMayJune109 @happyful @Ron_Petrelli I'm like Charlie sheen. Tiger blood. AIDS. Winning.,Individual,AIDS,None,7.19014e+17,celeb
Martha Stewart's Guest Bedroom,07/04/2016 19:25,Matthew_Gaskin,,242096716.0,2.0,,HIV,Eastern Time (US & Canada),Trump supporter: Trump speaks his mind &amp; has his own money.  Me: So does Charlie Sheen. You want America to have financial finacial AIDS?,Individual,AIDS,None,7.18158e+17,celeb
,09/04/2016 21:09,Klimb_im,,2603788669.0,3.0,,HIV,Pacific Time (US & Canada),@FuckableJustin Bieber is the new Charlie Sheen .. #HIV .. it's only a matter of time,Individual,#HIV,None,7.18909e+17,celeb
,11/04/2016 22:09,Klimb_im,,2603788669.0,3.0,,HIV,Pacific Time (US & Canada),@All_Trends_IT Bieber is the new Charlie Sheen .. #HIV .. it's only a matter of time,Individual,#HIV,None,7.19649e+17,celeb
,12/04/2016 17:56,Klimb_im,,2603788669.0,3.0,,HIV,Pacific Time (US & Canada),@iwatchedbieber Bieber is the new Charlie Sheen .. #HIV .. it's only a matter of time,Individual,#HIV,None,7.19947e+17,celeb
,14/04/2016 22:59,Jxhnchristopher,,239219168.0,1.0,,HIV,Eastern Time (US & Canada),@mitchelllmao @DiamondsNBooze so did Charlie sheen and now he has AIDS,Individual,AIDS,None,7.20748e+17,celeb
,15/04/2016 20:32,dlindley91,,,1.0,,HIV,Pacific Time (US & Canada),Charlie Sheen is being investigated for trying to have his ex-fiancee killed. She previously had an abortion on account of his having AIDS.,Individual,AIDS,None,7.21074e+17,celeb
,17/04/2016 04:04,JeneteTonuzi,,3434912345.0,1.0,,HIV,None,did u fall from heaven because Charlie sheen has aids,Individual,AIDS,None,7.2155e+17,celeb
The Benz,19/04/2016 01:42,matz64,,150099677.0,1.0,,HIV,None,"This kid said he's stays winning like Charlie Sheen... Well Charlie Sheen has AIDS, so...?",Individual,AIDS,None,7.22239e+17,celeb
Tejas,20/04/2016 00:47,r_x_2_2,,16509486.0,2.0,,HIV,Mountain Time (US & Canada),@kerrence charlie sheen TIGER BLOOD haha he has aids,Individual,AIDS,None,7.22588e+17,celeb
,20/04/2016 22:39,one_tatyana,,1378047270.0,2.0,,HIV,None,@jjcleaver22 @female_books forgot about charlie sheen. He was handing out aids for free and beating girls and treating them like trash.,Individual,AIDS,None,7.22918e+17,celeb
,07/04/2016 21:25,bossman808dp,,4899339728.0,1.0,,HIV,None,Assassin rule #16 If your lover gives u AIDS u might need 2 stalk them #CharlieSheen,Individual,AIDS,None,7.18188e+17,celeb
,14/04/2016 13:04,Brouillette_1st,,2379068545.0,1.0,,HIV,None,Bill c fuked 30bitches &amp;his wife still with him Magic J got AIDS &amp; his wife stayed wit him but if I put upTBH yall be quick to leave a nigga,Individual,AIDS,None,7.20599e+17,celeb
Las Vegas,16/04/2016 02:21,LouiseDeKoven,,145082709.0,1.0,,HIV,None,Brandon Flowers does not have AIDS. #ZapposSecretShow,Individual,AIDS,None,7.21162e+17,celeb
,14/04/2016 14:52,GetgoodofferGet,,3247904031.0,1.0,,HIV,None,Bruh just said Magic giving Kobe AIDS hugging him that long,Individual,AIDS,None,7.20626e+17,celeb
,18/04/2016 14:15,derekreid607,,2355466878.0,1.0,,HIV,Eastern Time (US & Canada),"Bye, why people saying Prince had HIV/AIDS ?",Individual,AIDS,None,7.22066e+17,celeb
"California, USA",15/04/2016 10:56,ChokoraSonko,,3373052062.0,1.0,,HIV,Pacific Time (US & Canada),Calling it... #prince had aids,Individual,AIDS,None,7.20929e+17,celeb
,11/04/2016 17:34,siopretandreeva,,2334147900.0,1.0,,HIV,None,"Can people quit with the illuminati bullshit, or he had aids and let him R.I.P. #Prince",Individual,AIDS,None,7.19579e+17,celeb
,13/04/2016 09:25,review_get,,294863981.0,2.0,,HIV,Quito,Can't believe Prince died. My cousin was JUST telling me how he heard a rumor that he had AIDS and wasn't going to make it to the summer.,Individual,AIDS,None,7.20181e+17,celeb
,09/04/2016 17:21,Chvloe_,,,1.0,,HIV,Pacific Time (US & Canada),Charlie Sheen is being investigated for trying to have his ex-fiancee killed. She previously had an abortion on account of his having AIDS.,Individual,AIDS,None,7.18851e+17,celeb
"Hilltop, OH",13/04/2016 15:43,CarrollWarren2,,2752646505.0,1.0,,HIV,None,cosby fucked 30 girls his wife stayed him. Magic got AIDS wife stayed with him. Oj killed bitches wife stayed. I leave a comment and its ov.,Individual,AIDS,None,7.20276e+17,celeb
,08/04/2016 03:36,ABrooklynBlog,,3576898103.0,1.0,,HIV,None,Damn rumors already starting up about prince dying from AIDS,Individual,AIDS,None,7.18281e+17,celeb
MyHeadHighnMyMiddleFingaHigher,11/04/2016 12:17,chrisjdabbs,,33771620.0,1.0,,HIV,Eastern Time (US & Canada),Did Prince die because of AIDS in the low?,Individual,AIDS,None,7.195e+17,celeb
